Comm_name,t_switch,output_total_c2_auc,AUC_sp1,AUC_sp3,AUC_sp5,c2AUC_sp1,c2AUC_sp3,c2AUC_sp5
comm1,19.39991351911002,2.264013285893699,2.5155703176596655,0.0,0.0,2.264013285893699,0.0,0.0
comm10,4.565568460843498,14.36372101728495,2.166141760589982,10.155630186940675,6.95995113164808,1.949527584530984,4.0622520747762705,8.351941357977696
comm11,6.861497252595624,0.9684713954625854,1.0760793282917616,0.0,0.0,0.9684713954625854,0.0,0.0
comm2,13.431050734415555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm3,4.743110864817602,4.012742410131277,0.0,10.03185602532819,0.0,0.0,4.012742410131277,0.0
comm4,8.203922845496589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm5,8.09504034565253,6.010375321067034,0.0,0.0,5.008646100889195,0.0,0.0,6.010375321067034
comm6,4.639528019637811,12.677904929005814,0.0,9.985775601852403,7.236328906887378,0.0,3.9943102407409614,8.683594688264852
comm7,4.756182193106798,6.5394231696509495,0.0,0.0,5.449519308042458,0.0,0.0,6.5394231696509495
comm8,5.577122564509414,6.575575341142051,0.0,0.0,5.479646117618376,0.0,0.0,6.575575341142051
comm9,9.855584995830116,1.6587152265807568,1.8430169184230631,0.0,0.0,1.6587152265807568,0.0,0.0
